樣區編號,樣點代號,縣市,樣區名稱,樣區樣點編號,X.67,Y.67,X.97,Y.97,X_經度(度分秒),Y_緯度(度分秒),X_經度,Y_緯度,備註,環境特徵描述
A01-09,3,新北市,麟山鼻,A01-09-03,301327,2797909,301326,2797899,"121°30'34.85""","25°17'20.83""",121.50968,25.28912,,
A01-09,4,新北市,麟山鼻,A01-09-04,301368,2797707,301368,2797698,"121°30'36.29""","25°17'14.29""",121.51008,25.28730,,
A01-09,5,新北市,麟山鼻,A01-09-05,301327,2797501,301327,2797492,"121°30'34.81""","25°17'07.57""",121.50967,25.28544,,
A01-09,6,新北市,麟山鼻,A01-09-06,301598,2797368,301597,2797359,"121°30'44.47""","25°17'03.23""",121.51235,25.28423,,
A01-09,7,新北市,麟山鼻,A01-09-07,301828,2797278,301827,2797269,"121°30'52.66""","25°17'00.29""",121.51463,25.28341,,
A01-09,8,新北市,麟山鼻,A01-09-08,301389,2797287,301389,2797277,"121°30'37.02""","25°17'00.60""",121.51028,25.28350,,
A01-11,1,新北市,擎天崗,A01-11-01,307797,2784066,307797,2784057,"121°34'24.04""","25°09'50.12""",121.57334,25.16392,,
A01-11,2,新北市,擎天崗,A01-11-02,307961,2784392,307960,2784382,"121°34'29.91""","25°10'00.66""",121.57498,25.16685,,
A01-11,3,新北市,擎天崗,A01-11-03,308282,2784411,308282,2784401,"121°34'41.41""","25°10'01.23""",121.57817,25.16701,,
A01-11,4,新北市,擎天崗,A01-11-04,308476,2784553,308476,2784544,"121°34'48.36""","25°10'05.85""",121.58010,25.16829,,
A01-11,5,新北市,擎天崗,A01-11-05,308643,2784720,308643,2784711,"121°34'54.35""","25°10'11.25""",121.58176,25.16979,,
A01-11,6,新北市,擎天崗,A01-11-06,308836,2784905,308835,2784895,"121°35'01.24""","25°10'17.21""",121.58368,25.17145,,
A01-12,1,新北市,野柳,A01-12-01,319993,2789267,319993,2789257,"121°41'40.51""","25°12'37.27""",121.69459,25.21035,,
A01-12,3,新北市,野柳,A01-12-03,320195,2789418,320195,2789408,"121°41'47.75""","25°12'42.11""",121.69660,25.21170,,
A01-12,5,新北市,野柳,A01-12-05,320337,2789608,320337,2789598,"121°41'52.86""","25°12'48.29""",121.69802,25.21341,,
A01-12,6,新北市,野柳,A01-12-06,319937,2789089,319937,2789080,"121°41'38.48""","25°12'31.51""",121.69402,25.20875,2014設置,
A01-12,7,新北市,野柳,A01-12-07,319792,2788952,319792,2788943,"121°41'33.27""","25°12'27.08""",121.69258,25.20752,2014設置,
A01-12,8,新北市,野柳,A01-12-08,319575,2788931,319575,2788922,"121°41'25.52""","25°12'26.41""",121.69042,25.20734,2014設置,
A01-12,9,新北市,野柳,A01-12-09,319668,2788771,319668,2788762,"121°41'28.82""","25°12'21.20""",121.69134,25.20589,2014設置,
A01-12,10,新北市,野柳,A01-12-10,320517,2789822,320516,2789813,"121°41'59.32""","25°12'55.22""",121.69981,25.21534,2014設置,
A02-01,1,新北市,台北縣瑞芳,A02-01-01,332325,2778361,332325,2778351,"121°48'58.69""","25°06'40.57""",121.81630,25.11127,,
A02-01,2,新北市,台北縣瑞芳,A02-01-02,332661,2778356,332661,2778346,"121°49'10.68""","25°06'40.37""",121.81963,25.11121,,
A02-01,3,新北市,台北縣瑞芳,A02-01-03,332848,2778255,332848,2778246,"121°49'17.33""","25°06'37.05""",121.82148,25.11029,,
A02-01,4,新北市,台北縣瑞芳,A02-01-04,332680,2778193,332680,2778184,"121°49'11.32""","25°06'35.07""",121.81981,25.10974,,
A02-01,5,新北市,台北縣瑞芳,A02-01-05,332926,2778053,332926,2778043,"121°49'20.07""","25°06'30.47""",121.82224,25.10846,,
A02-01,6,新北市,台北縣瑞芳,A02-01-06,333053,2778218,333053,2778208,"121°49'24.64""","25°06'35.78""",121.82351,25.10994,,
A02-01,7,新北市,台北縣瑞芳,A02-01-07,333075,2777889,333075,2777879,"121°49'25.35""","25°06'25.08""",121.82371,25.10697,,
A02-01,8,新北市,台北縣瑞芳,A02-01-08,333475,2778167,333475,2778158,"121°49'39.69""","25°06'34.07""",121.82769,25.10946,,
A02-01,9,新北市,台北縣瑞芳,A02-01-09,333731,2778466,333731,2778456,"121°49'48.89""","25°06'43.70""",121.83025,25.11214,,
A02-01,10,新北市,台北縣瑞芳,A02-01-10,334008,2778435,334008,2778426,"121°49'58.77""","25°06'42.67""",121.83299,25.11185,,
A02-02,1,新北市,台北縣樹梅,A02-02-01,335423,2777585,335423,2777576,"121°50'49.09""","25°06'14.76""",121.84697,25.10410,,
A02-02,2,新北市,台北縣樹梅,A02-02-02,335796,2777486,335796,2777476,"121°51'02.38""","25°06'11.44""",121.85066,25.10318,,
A02-02,3,新北市,台北縣樹梅,A02-02-03,336091,2777410,336091,2777401,"121°51'12.89""","25°06'08.94""",121.85358,25.10248,,
A02-02,4,新北市,台北縣樹梅,A02-02-04,336182,2777249,336182,2777239,"121°51'16.10""","25°06'03.69""",121.85447,25.10102,,
A02-02,5,新北市,台北縣樹梅,A02-02-05,336749,2776895,336749,2776885,"121°51'36.26""","25°05'52.04""",121.86007,25.09779,,
A02-02,6,新北市,台北縣樹梅,A02-02-06,335682,2777300,335682,2777291,"121°50'58.27""","25°06'05.45""",121.84952,25.10151,,
A02-02,7,新北市,台北縣樹梅,A02-02-07,336351,2776890,336350,2776880,"121°51'22.02""","25°05'51.96""",121.85612,25.09777,,
A02-02,8,新北市,台北縣樹梅,A02-02-08,336106,2776856,336105,2776847,"121°51'13.27""","25°05'50.94""",121.85369,25.09748,,
A02-02,9,新北市,台北縣樹梅,A02-02-09,335737,2776887,335737,2776878,"121°51'00.14""","25°05'52.02""",121.85004,25.09778,,
A02-02,10,新北市,台北縣樹梅,A02-02-10,335757,2776565,335756,2776555,"121°51'00.75""","25°05'41.55""",121.85021,25.09487,,
A02-03,1,新北市,台北縣野人谷,A02-03-01,329460,2772445,329460,2772435,"121°47'15.19""","25°03'28.86""",121.78755,25.05802,,
A02-03,2,新北市,台北縣野人谷,A02-03-02,329728,2772475,329728,2772466,"121°47'24.76""","25°03'29.82""",121.79021,25.05828,,
A02-03,3,新北市,台北縣野人谷,A02-03-03,329943,2772557,329943,2772548,"121°47'32.45""","25°03'32.44""",121.79235,25.05901,,
A02-03,4,新北市,台北縣野人谷,A02-03-04,330100,2772394,330100,2772385,"121°47'38.02""","25°03'27.12""",121.79389,25.05753,,
A02-03,5,新北市,台北縣野人谷,A02-03-05,330058,2772180,330057,2772171,"121°47'36.47""","25°03'20.17""",121.79346,25.05560,,
A02-03,6,新北市,台北縣野人谷,A02-03-06,329889,2772142,329889,2772132,"121°47'30.44""","25°03'18.93""",121.79179,25.05526,,
A02-03,7,新北市,台北縣野人谷,A02-03-07,329705,2772223,329705,2772213,"121°47'23.89""","25°03'21.60""",121.78997,25.05600,,
A02-03,8,新北市,台北縣野人谷,A02-03-08,329499,2772222,329499,2772213,"121°47'16.54""","25°03'21.64""",121.78793,25.05601,,
A02-03,9,新北市,台北縣野人谷,A02-03-09,329397,2771873,329396,2771863,"121°47'12.79""","25°03'10.29""",121.78689,25.05286,,
A02-03,10,新北市,台北縣野人谷,A02-03-10,329085,2771710,329084,2771701,"121°47'01.63""","25°03'05.08""",121.78379,25.05141,,
A02-05,1,新北市,三貂嶺,A02-05-01,333092,2773257,333092,2773248,"121°49'24.95""","25°03'54.58""",121.82360,25.06516,,
A02-05,2,新北市,三貂嶺,A02-05-02,332987,2772336,332987,2772327,"121°49'21.01""","25°03'24.67""",121.82250,25.05685,,
A02-05,3,新北市,三貂嶺,A02-05-03,333219,2772230,333218,2772221,"121°49'29.23""","25°03'21.15""",121.82479,25.05588,,
A02-05,4,新北市,三貂嶺,A02-05-04,333316,2772450,333316,2772441,"121°49'32.77""","25°03'28.31""",121.82577,25.05786,,
A02-05,5,新北市,三貂嶺,A02-05-05,333608,2772587,333608,2772577,"121°49'43.22""","25°03'32.67""",121.82867,25.05908,,
A02-05,6,新北市,三貂嶺,A02-05-06,333596,2772909,333596,2772900,"121°49'42.86""","25°03'43.17""",121.82857,25.06199,,
A02-05,7,新北市,三貂嶺,A02-05-07,333501,2773241,333501,2773232,"121°49'39.54""","25°03'53.95""",121.82765,25.06499,,
A02-05,8,新北市,三貂嶺,A02-05-08,333996,2773467,333996,2773457,"121°49'57.25""","25°04'01.19""",121.83257,25.06700,,
A02-05,9,新北市,三貂嶺,A02-05-09,334263,2773555,334263,2773545,"121°50'06.80""","25°04'04.00""",121.83522,25.06778,,
A02-06,1,新北市,田寮洋,A02-06-01,343036,2767466,343036,2767456,"121°55'18.35""","25°00'44.27""",121.92176,25.01230,,
A02-06,2,新北市,田寮洋,A02-06-02,343389,2767385,343389,2767376,"121°55'30.90""","25°00'41.57""",121.92525,25.01155,,
A02-06,3,新北市,田寮洋,A02-06-03,343126,2767202,343125,2767192,"121°55'21.45""","25°00'35.68""",121.92263,25.00991,,
A02-06,4,新北市,田寮洋,A02-06-04,343596,2768496,343596,2768486,"121°55'38.56""","25°01'17.61""",121.92738,25.02156,,
A02-06,5,新北市,田寮洋,A02-06-05,343263,2767990,343262,2767981,"121°55'26.56""","25°01'01.27""",121.92404,25.01702,,
A02-06,6,新北市,田寮洋,A02-06-06,343267,2767710,343266,2767701,"121°55'26.62""","25°00'52.18""",121.92406,25.01449,,
A02-06,7,新北市,田寮洋,A02-06-07,343101,2768343,343100,2768333,"121°55'20.86""","25°01'12.74""",121.92246,25.02021,,
A02-06,8,新北市,田寮洋,A02-06-08,343172,2768547,343172,2768537,"121°55'23.44""","25°01'19.39""",121.92318,25.02205,,
A02-06,9,新北市,田寮洋,A02-06-09,343318,2768216,343317,2768206,"121°55'28.57""","25°01'08.57""",121.92460,25.01905,,
A02-06,10,新北市,田寮洋,A02-06-10,342607,2767851,342606,2767841,"121°55'03.11""","25°00'56.88""",121.91753,25.01580,,
A02-07,1,新北市,草嶺古道-A,A02-07-01,343545,2767169,343545,2767160,"121°55'36.42""","25°00'34.53""",121.92678,25.00959,,
A02-07,3,新北市,草嶺古道-A,A02-07-03,343587,2766917,343587,2766907,"121°55'37.86""","25°00'26.31""",121.92718,25.00731,,
A02-07,4,新北市,草嶺古道-A,A02-07-04,343860,2766110,343860,2766101,"121°55'47.40""","25°00'00.05""",121.92983,25.00001,,
A02-07,5,新北市,草嶺古道-A,A02-07-05,343719,2765893,343719,2765884,"121°55'42.32""","24°59'53.00""",121.92842,24.99806,,
A02-07,7,新北市,草嶺古道-A,A02-07-07,343559,2765581,343558,2765571,"121°55'36.53""","24°59'42.89""",121.92681,24.99525,,
A02-07,8,新北市,草嶺古道-A,A02-07-08,343400,2765449,343400,2765439,"121°55'30.83""","24°59'38.64""",121.92523,24.99407,,
A02-07,9,新北市,草嶺古道-A,A02-07-09,343663,2766572,343663,2766562,"121°55'40.49""","25°00'15.08""",121.92791,25.00419,,
A02-07,10,新北市,草嶺古道-A,A02-07-10,343811,2766280,343811,2766271,"121°55'45.69""","25°00'05.59""",121.92936,25.00155,,
A02-08,1,新北市,草嶺古道-B,A02-08-01,343397,2762780,343397,2762771,"121°55'30.06""","24°58'11.93""",121.92502,24.96998,,
A02-08,2,新北市,草嶺古道-B,A02-08-02,343357,2765222,343357,2765212,"121°55'29.23""","24°59'31.27""",121.92479,24.99202,,
A02-08,3,新北市,草嶺古道-B,A02-08-03,343492,2763231,343492,2763221,"121°55'33.56""","24°58'26.54""",121.92599,24.97404,,
A02-08,5,新北市,草嶺古道-B,A02-08-05,343411,2764637,343410,2764627,"121°55'31.02""","24°59'12.28""",121.92528,24.98674,,
A02-08,6,新北市,草嶺古道-B,A02-08-06,343557,2763567,343557,2763557,"121°55'35.99""","24°58'37.44""",121.92666,24.97707,,
A02-08,7,新北市,草嶺古道-B,A02-08-07,343596,2763769,343596,2763759,"121°55'37.40""","24°58'44.00""",121.92706,24.97889,,
A02-08,8,新北市,草嶺古道-B,A02-08-08,343436,2764269,343436,2764260,"121°55'31.85""","24°59'00.31""",121.92551,24.98342,,
A02-08,10,新北市,草嶺古道-B,A02-08-10,343389,2764946,343389,2764936,"121°55'30.31""","24°59'22.29""",121.92509,24.98953,,
A02-10,1,基隆市,東勢寮,A02-10-01,326979,2773367,326979,2773357,"121°45'46.86""","25°03'59.29""",121.76302,25.06647,,
A02-10,2,基隆市,東勢寮,A02-10-02,326826,2773512,326826,2773502,"121°45'41.43""","25°04'04.06""",121.76151,25.06779,,
A02-10,3,基隆市,東勢寮,A02-10-03,326645,2773816,326645,2773806,"121°45'35.04""","25°04'13.94""",121.75973,25.07054,,
A02-10,4,基隆市,東勢寮,A02-10-04,326538,2773972,326538,2773963,"121°45'31.25""","25°04'19.06""",121.75868,25.07196,,
A02-10,5,基隆市,東勢寮,A02-10-05,326435,2774128,326435,2774118,"121°45'27.60""","25°04'24.15""",121.75767,25.07337,,
A02-10,6,基隆市,東勢寮,A02-10-06,326391,2774343,326391,2774333,"121°45'26.08""","25°04'31.12""",121.75724,25.07531,,
A02-10,7,基隆市,東勢寮,A02-10-07,326262,2774483,326262,2774473,"121°45'21.50""","25°04'35.69""",121.75597,25.07658,,
A02-10,8,基隆市,東勢寮,A02-10-08,326062,2774704,326062,2774695,"121°45'14.41""","25°04'42.94""",121.75400,25.07859,,
A02-10,9,基隆市,東勢寮,A02-10-09,325765,2774959,325765,2774950,"121°45'03.86""","25°04'51.28""",121.75107,25.08091,,
A02-10,10,基隆市,東勢寮,A02-10-10,325645,2775136,325645,2775126,"121°44'59.61""","25°04'57.02""",121.74989,25.08251,,
A03-01,1,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-01,333467,2735002,333466,2734993,"121°49'30.02""","24°43'11.26""",121.82501,24.71979,,
A03-01,2,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-02,333197,2734928,333197,2734918,"121°49'20.41""","24°43'08.88""",121.82234,24.71913,,
A03-01,3,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-03,334091,2734801,334091,2734792,"121°49'52.20""","24°43'04.57""",121.83117,24.71794,,
A03-01,4,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-04,334038,2735046,334038,2735036,"121°49'50.36""","24°43'12.54""",121.83066,24.72015,2017更新,
A03-01,5,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-05,334233,2734650,334232,2734641,"121°49'57.23""","24°42'59.64""",121.83256,24.71657,,
A03-01,6,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-06,333084,2733377,333083,2733368,"121°49'16.07""","24°42'18.51""",121.82113,24.70514,,
A03-01,7,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-07,333318,2733506,333317,2733497,"121°49'24.41""","24°42'22.65""",121.82345,24.70629,,
A03-01,8,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-08,333596,2733490,333596,2733481,"121°49'34.31""","24°42'22.08""",121.82620,24.70613,,
A03-01,9,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-09,333939,2733257,333938,2733248,"121°49'46.44""","24°42'14.42""",121.82957,24.70401,,
A03-01,10,宜蘭縣,宜蘭縣蘭陽溪口,A03-01-10,333410,2732913,333410,2732903,"121°49'27.59""","24°42'03.34""",121.82433,24.70093,,
A03-02,1,宜蘭縣,三抱竹山(竹安里),A03-02-01,333461,2748080,333461,2748070,"121°49'32.65""","24°50'16.27""",121.82574,24.83785,,
A03-02,2,宜蘭縣,三抱竹山(竹安里),A03-02-02,333445,2748404,333445,2748395,"121°49'32.17""","24°50'26.82""",121.82560,24.84078,,
A03-02,3,宜蘭縣,三抱竹山(竹安里),A03-02-03,333169,2748274,333169,2748265,"121°49'22.29""","24°50'22.62""",121.82286,24.83962,,
A03-02,4,宜蘭縣,三抱竹山(竹安里),A03-02-04,332918,2747949,332918,2747940,"121°49'13.30""","24°50'12.12""",121.82036,24.83670,,
A03-02,5,宜蘭縣,三抱竹山(竹安里),A03-02-05,332991,2747688,332990,2747679,"121°49'15.81""","24°50'03.62""",121.82106,24.83434,,
A03-02,6,宜蘭縣,三抱竹山(竹安里),A03-02-06,332992,2747294,332992,2747284,"121°49'15.77""","24°49'50.82""",121.82105,24.83078,,
A03-03,1,宜蘭縣,蘭陽女中,A03-03-01,326237,2737823,326237,2737813,"121°45'13.36""","24°44'44.25""",121.75371,24.74563,,
A03-03,2,宜蘭縣,蘭陽女中,A03-03-02,326314,2737625,326314,2737616,"121°45'16.05""","24°44'37.84""",121.75446,24.74384,,
A03-03,3,宜蘭縣,蘭陽女中,A03-03-03,326122,2737573,326122,2737564,"121°45'09.20""","24°44'36.15""",121.75256,24.74338,,
A03-03,4,宜蘭縣,蘭陽女中,A03-03-04,326049,2737769,326049,2737759,"121°45'06.65""","24°44'42.54""",121.75185,24.74515,,
A03-03,5,宜蘭縣,蘭陽女中,A03-03-05,325868,2737716,325868,2737706,"121°45'00.22""","24°44'40.84""",121.75006,24.74468,,
A03-03,6,宜蘭縣,蘭陽女中,A03-03-06,326234,2737244,326234,2737234,"121°45'13.14""","24°44'25.44""",121.75365,24.74040,,
A03-03,7,宜蘭縣,蘭陽女中,A03-03-07,326396,2737423,326396,2737413,"121°45'18.95""","24°44'31.23""",121.75526,24.74201,,
A03-06,1,宜蘭縣,貴林村(華僑農場),A03-06-01,319212,2732059,319212,2732050,"121°41'02.31""","24°41'38.15""",121.68398,24.69393,,
A03-06,2,宜蘭縣,貴林村(華僑農場),A03-06-02,318906,2732037,318906,2732027,"121°40'51.43""","24°41'37.47""",121.68095,24.69374,,
A03-06,3,宜蘭縣,貴林村(華僑農場),A03-06-03,318686,2732009,318686,2732000,"121°40'43.61""","24°41'36.61""",121.67878,24.69350,,
A03-06,4,宜蘭縣,貴林村(華僑農場),A03-06-04,318436,2731966,318435,2731956,"121°40'34.68""","24°41'35.24""",121.67630,24.69312,,
A03-06,5,宜蘭縣,貴林村(華僑農場),A03-06-05,318592,2731609,318592,2731599,"121°40'40.20""","24°41'23.60""",121.67783,24.68989,,
A03-06,6,宜蘭縣,貴林村(華僑農場),A03-06-06,319126,2731747,319126,2731737,"121°40'59.18""","24°41'28.00""",121.68311,24.69111,,
A03-07,1,宜蘭縣,五十二甲濕地,A03-07-01,332221,2728766,332220,2728757,"121°48'44.38""","24°39'48.82""",121.81233,24.66356,,
A03-07,2,宜蘭縣,五十二甲濕地,A03-07-02,332575,2728360,332575,2728350,"121°48'56.92""","24°39'35.55""",121.81581,24.65987,,
A03-07,3,宜蘭縣,五十二甲濕地,A03-07-03,332426,2728182,332426,2728172,"121°48'51.58""","24°39'29.76""",121.81433,24.65827,,
A03-07,4,宜蘭縣,五十二甲濕地,A03-07-04,331946,2728672,331945,2728662,"121°48'34.61""","24°39'45.81""",121.80961,24.66272,,
A03-07,5,宜蘭縣,五十二甲濕地,A03-07-05,331772,2728153,331771,2728144,"121°48'28.28""","24°39'28.98""",121.80786,24.65805,,
A03-07,6,宜蘭縣,五十二甲濕地,A03-07-06,331162,2729314,331161,2729305,"121°48'06.83""","24°40'06.80""",121.80190,24.66856,,
A03-07,7,宜蘭縣,五十二甲濕地,A03-07-07,331368,2729141,331368,2729132,"121°48'14.15""","24°40'01.17""",121.80393,24.66699,,
